manual	catch_precise	catch_broad	gemma2_precise	gemma2_broad	llama_precise	llama_broad	mixtral_precise	mixtral_broad
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	1	1	1	1	1	1	1	1
1.0	0	1	1	1	0	0	0	1
0.0	0	0	0	0	0	0	0	0
1.0	0	1	0	1	0	0	0	1
1.0	0	1	1	1	0	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	1	1
0.0	0	0	0	0	0	0	0	0
1.0	1	1	1	1	1	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	1	1	1
0.0	0	1	1	1	0	0	1	1
1.0	0	1	1	1	0	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	1	1	1	1	0	1	0	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	1	0	0	0	0	0	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	1	0
1.0	0	0	1	1	1	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	1	1	1	1
0.0	0	1	1	1	1	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	1	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	1	1	1	0	1	0	1
0.0	0	1	1	1	1	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	1	0	0	0	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	1	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	1	0	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	1	0	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	0	1	0	0	0	0
0.0	0	0	0	0	0	0	1	0
1.0	1	1	1	1	0	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	1	1	1
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	1
0.0	0	0	0	0	0	0	0	0
1.0	0	1	0	1	0	0	0	1
0.0	0	0	0	0	0	0	1	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	0	0	1
0.0	0	0	0	0	0	0	1	1
0.0	0	0	0	0	0	0	0	0
1.0	0	1	0	0	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	0	1	0	0	0	0
0.0	0	0	0	0	0	0	0	0
1.0	0	1	1	1	0	1	1	1
